prefLabel;hasLanguage
especializado;pt
especado;pt
esfomeado;pt
escorrido;pt
escandalizado;pt
esbugalhado;pt
ermo;pt
enternecido;pt
entediado;pt
enferrujado;pt
enfadado;pt
encardido;pt
empertigado;pt
empedernido;pt
emocionante;pt
eminente;pt
dominical;pt
divorciado;pt
digital;pt
dianteiro;pt
destrutivo;pt
deslumbrado;pt
descarado;pt
desafiador;pt
deficiente;pt
danado;pt
cômodo;pt
céptico;pt
culto;pt
correspondente;pt
copioso;pt
congestionado;pt
compatível;pt
colonial;pt
casual;pt
carnal;pt
burro;pt
besta;pt
azul-marinho;pt
atrapalhado;pt
atlético;pt
ativo;pt
atemorizado;pt
aquático;pt
apático;pt
apto;pt
anormal;pt
andante;pt
amarrotado;pt
alheado;pt
afiado;pt
adocicado;pt
acostumado;pt
acelerado;pt
abastado;pt
áureo;pt
volúvel;pt
viçoso;pt
violeta;pt
vingativo;pt
valente;pt
tónico;pt
turvo;pt
tremente;pt
transversal;pt
transitório;pt
tinto;pt
tentador;pt
suíço;pt
surrado;pt
sumido;pt
sul-africano;pt
subsequente;pt
subalterno;pt
soviético;pt
sonhador;pt
sobranceiro;pt
seguido;pt
sedoso;pt
sanguíneo;pt
sanguinário;pt
sacro;pt
sabido;pt
sabedor;pt
rival;pt
reverente;pt
resolvido;pt
rasteiro;pt
racial;pt
púbico;pt
provocador;pt
profético;pt
profano;pt
problemático;pt
pretensioso;pt
polido;pt
plano;pt
picante;pt
perturbante;pt
persuasivo;pt
perspicaz;pt
persa;pt
pelado;pt
paulista;pt
paternal;pt
parco;pt
pagão;pt
ornamental;pt
organizado;pt
nocivo;pt
musculoso;pt
mulato;pt
metílico;pt
mestiço;pt
mentiroso;pt
matrimonial;pt
marrom;pt
maléfico;pt
macho;pt
lícito;pt
luzidio;pt
listrado;pt
latente;pt
latejante;pt
lancinante;pt
irresponsável;pt
irremediável;pt
irrelevante;pt
inusitado;pt
inquisitivo;pt
inigualável;pt
ingrato;pt
informal;pt
indestrutível;pt
inconveniente;pt
incontrolável;pt
incompetente;pt
incompatível;pt
imprudente;pt
imperdoável;pt
ilegal;pt
húngaro;pt
horrendo;pt
guloso;pt
guerreiro;pt
genealógico;pt
funesto;pt
fumegante;pt
frustrado;pt
formado;pt
fofo;pt
flamejante;pt
fingido;pt
fatigante;pt
extinto;pt
extenuante;pt
expresso;pt
explícito;pt
expansivo;pt
excepcional;pt
eventual;pt
evasivo;pt
eufórico;pt
estrambótico;pt
estragado;pt
estagnado;pt
espetacular;pt
esperançado;pt
espavorido;pt
esparso;pt
esgazeado;pt
escancarado;pt
errante;pt
eriçado;pt
enluarado;pt
engelhado;pt
enfático;pt
enegrecido;pt
endurecido;pt
empoeirado;pt
empinado;pt
eloquente;pt
elementar;pt
egípcio;pt
efectivo;pt
diáfano;pt
disparatado;pt
desumano;pt
desprezível;pt
desprevenido;pt
desmedido;pt
deslocado;pt
desgrenhado;pt
desconfortável;pt
descaído;pt
descarnado;pt
desabrido;pt
cumpridor;pt
crédulo;pt
crente;pt
costumado;pt
corrupto;pt
controverso;pt
consternado;pt
coletivo;pt
colectivo;pt
coerente;pt
choroso;pt
cardíaco;pt
capitalista;pt
cabisbaixo;pt
cabalístico;pt
bíblico;pt
biográfico;pt
benéfico;pt
bem-parecido;pt
batido;pt
barroco;pt
avançado;pt
atarracado;pt
assassino;pt
arrebatado;pt
ardiloso;pt
aprumado;pt
apaziguador;pt
análogo;pt
antecipado;pt
angustiante;pt
amado;pt
alarmante;pt
airoso;pt
afetuoso;pt
afeito;pt
afectado;pt
adverso;pt
adorável;pt
adjunto;pt
acusador;pt
acre;pt
achatado;pt
óptico;pt
ébrio;pt
vital;pt
vidrado;pt
vicioso;pt
vexado;pt
veemente;pt
umbilical;pt
tenaz;pt
temerário;pt
susceptível;pt
suplementar;pt
solidário;pt
sobressaltado;pt
sionista;pt
sibilante;pt
serial;pt
semicerrado;pt
sardento;pt
sanitário;pt
rústico;pt
ríspido;pt
roçagante;pt
romanesco;pt
revoltado;pt
respeitador;pt
relaxante;pt
regional;pt
refinado;pt
rectangular;pt
reconhecível;pt
rebuscado;pt
puído;pt
pueril;pt
protuberante;pt
pronunciado;pt
prisional;pt
previsível;pt
precoce;pt
precipitado;pt
plástico;pt
picaresco;pt
pertinente;pt
pernicioso;pt
patológico;pt
partido;pt
parisiense;pt
oscilante;pt
orgânico;pt
obtuso;pt
objetivo;pt
nulo;pt
nominal;pt
negligente;pt
nauseabundo;pt
nascido;pt
narrativo;pt
mísero;pt
muscular;pt
mundano;pt
metódico;pt
marcial;pt
maravilhado;pt
malcriado;pt
macabro;pt
lusitano;pt
litúrgico;pt
lisonjeiro;pt
ligado;pt
lerdo;pt
lato;pt
lastimoso;pt
ladino;pt
lacrimoso;pt
laborioso;pt
irascível;pt
inverosímil;pt
intermédio;pt
interesseiro;pt
intencional;pt
inoxidável;pt
inoportuno;pt
ininterrupto;pt
ininteligível;pt
infundado;pt
inflamado;pt
infiel;pt
inequívoco;pt
indulgente;pt
indecoroso;pt
indecifrável;pt
incurável;pt
incomparável;pt
incalculável;pt
inaudível;pt
inacreditável;pt
impreciso;pt
implícito;pt
impessoal;pt
imperativo;pt
imbecil;pt
ilusório;pt
ileso;pt
idiomático;pt
hospitalar;pt
